No,학년,학수번호,과목분야,교과번호,"이수
구분","과목
번호",교과목명,영문교과목명,"강의
계획서",비고,학점,시간,"수강
학부(과)/전공","제청
학부(과)/전공","개설
학부(과)/전공",강의요시/강의실,담당교수,"강의비율
대면:녹화:실시간","수업
유형","캡스톤
(ABF제
적용)","NCS
(ABF제
적용)","패스
과목","원어
강의","원어
유형","현재
인원","학부
인원","대학원
인원","제한
인원","과목
해설","강의
유형","강의
종류",영역,합반
1,1,BAAA00736,PHIL,0105101,지교,0001,논리학,LOGICS,,,3.0,3.0," 문과대학, 철학과",철학과,문과대학," 화13-15(문307), 목04-06(문307)", 김도식,100:0:0,,0,0,,0,,68,68,0,55,,이론,일반,,0
2,1,BAAA04078,KORE,0100101,지교,0002,언어와문화,LANGUAGE AND CULTURE,,"*지교과목으로 지정된 1학년, 외국인편입생(지교과목 지정) 학생만 수강신청 가능

*토론식 강의실(법113) 교수학습센터에서 배정확인완료",3.0,3.0, 국어국문학과,국어국문학과,문과대학," 수10-12(종강113), 목10-12(종강113)"," 오재혁, 정환민",100:0:0,토론식강의,0,0,,0,,30,30,0,48,,이론,일반,,0
3,1,BAAA04078,KORE,0100101,지교,0003,언어와문화,LANGUAGE AND CULTURE,,"*학년별 수강신청 기간에는 국어국문학과 원전공학생들만 수강신청 가능.

*문과대학생, 다/부전공 및 학점교류생들은 전체수강신청 기간에 신청 가능.",3.0,3.0," 문과대학, 국어국문학과",국어국문학과,문과대학, 금11-16(문309), 이향원,100:0:0,,0,0,,0,,10,10,0,49,,이론,일반,,0
4,1,BAAA04081,HIST,0101101,지교,0004,역사학입문,INTRODUCTION TO HISTORY,,,3.0,3.0," 문과대학, 사학과, 지리, 지리학과",사학과,문과대학," 월04-06(문308), 수04-06(문308)", 권형진,100:0:0,,0,0,,0,,19,19,0,50,,이론,일반,,0
5,1,BAAA04098,CHIN,0199101,지교,0005,중국문화산책,INTRODUCTION TO CHINESE CULTURE,,,3.0,3.0," 문과대학, 중어중문학과",중어중문학과,문과대학, 금13-18(문210), 정인숙,100:0:0,,0,0,,0,,42,42,0,44,,이론,일반,,0
6,1,BAAA04098,CHIN,0199101,지교,0006,중국문화산책,INTRODUCTION TO CHINESE CULTURE,,,3.0,3.0," 문과대학, 중어중문학과",중어중문학과,문과대학, 월07-12(문212), 남종진,100:0:0,,0,0,,0,,32,32,0,45,,이론,일반,,0
7,1,BAAA16892,PSYC,1600101,지교,0007,광고와소비자행동,ADVERTISING AND CONSUMER BEHAVIOR,,"*학년별 수강신청 기간에는 미디어커뮤니케이션학과 원전공학생들만 수강신청 가능.

*문과대학생, 다/부전공 및 학점교류생들은 전체수강신청 기간에 신청 가능.
",3.0,3.0," 문과대학, 미디어커뮤니케이션학과",미디어커뮤니케이션학과,문과대학," 월07-09(문213), 수10-12(문213)", 김유정,71.9:28.1:0,,0,0,,0,,52,52,0,60,,이론,일반,,0
8,1,BAAA48974,KORE,0201101,지교,0008,한국문학과사회,KOREAN LITERATURE AND SOCIETY,,"*지교과목으로 지정된 1학년, 외국인편입생(지교과목 지정) 학생만 수강신청 가능

*학년별 수강신청 기간에는 국어국문학과 원전공학생들만 수강신청 가능.",3.0,3.0, 국어국문학과,국어국문학과,문과대학," 월16-18(문303), 수04-06(문309)", 홍재범,100:0:0,,0,0,,0,,10,8,2,49,,이론,일반,,0
9,1,BAAA48974,KORE,0201101,지교,0009,한국문학과사회,KOREAN LITERATURE AND SOCIETY,,"*비전임교원 또는 강사 배정예정

*학년별 수강신청 기간에는 국어국문학과 원전공학생들만 수강신청 가능.

*문과대학생, 다/부전공 및 학점교류생들은 전체수강신청 기간에 신청 가능.",3.0,3.0," 문과대학, 국어국문학과",국어국문학과,문과대학, 월13-18(문309), 김소연,100:0:0,,0,0,,0,,39,39,0,49,,이론,일반,,0
10,1,BAAA49033,HIST,0106101,지교,0010,문화예술사입문,INTRODUCTION TO CULTURAL AND ART HISTORY,,,3.0,3.0," 문과대학, 사학과",사학과,문과대학, 수01-06(상허관324), 김지혜,100:0:0,,0,0,,0,,104,104,0,150,,이론,일반,,0
