과목명,교수,전공,강의실,요일,강의시간
논리학,김도식," 문과대학, 철학과",문307,화,13-15
논리학,김도식," 문과대학, 철학과",문307,목,04-06
언어와문화,"오재혁, 정환민", 국어국문학과,종강113,수,10-12
언어와문화,"오재혁, 정환민", 국어국문학과,종강113,목,10-12
언어와문화,이향원," 문과대학, 국어국문학과",문309,금,11-16
역사학입문,권형진," 문과대학, 사학과, 지리, 지리학과",문308,월,04-06
역사학입문,권형진," 문과대학, 사학과, 지리, 지리학과",문308,수,04-06
중국문화산책,정인숙," 문과대학, 중어중문학과",문210,금,13-18
중국문화산책,남종진," 문과대학, 중어중문학과",문212,월,07-12
광고와소비자행동,김유정," 문과대학, 미디어커뮤니케이션학과",문213,월,07-09
광고와소비자행동,김유정," 문과대학, 미디어커뮤니케이션학과",문213,수,10-12
한국문학과사회,홍재범, 국어국문학과,문303,월,16-18
한국문학과사회,홍재범, 국어국문학과,문309,수,04-06
한국문학과사회,김소연," 문과대학, 국어국문학과",문309,월,13-18
문화예술사입문,김지혜," 문과대학, 사학과",상허관324,수,01-06
고전읽기의즐거움,신동흔, 국어국문학과,문303,수,13-15
고전읽기의즐거움,신동흔, 국어국문학과,문303,목,13-15
고전읽기의즐거움,박시언," 문과대학, 국어국문학과",문309,목,07-12
영미문학명작읽기,강형민," 문과대학, 영어영문학과",문302-1,월,07-09
영미문학명작읽기,강형민," 문과대학, 영어영문학과",문302-1,수,10-12
영미문학명작읽기,강형민," 문과대학, 영어영문학과",문302-1,월,10-12
영미문학명작읽기,강형민," 문과대학, 영어영문학과",문302-1,수,07-09
기초영어글쓰기,라이언," 문과대학, 영어영문학과",문211,화,01-03
기초영어글쓰기,라이언," 문과대학, 영어영문학과",문211,목,04-06
기초영어글쓰기,라이언," 문과대학, 영어영문학과",문211,화,04-06
기초영어글쓰기,라이언," 문과대학, 영어영문학과",문211,목,01-03
예술콘텐츠연구,이화진," 문과대학, 문화콘텐츠학과",상허관217,수,03-08
예술콘텐츠연구,이동배," 문과대학, 문화콘텐츠학과",문305,월,13-15
예술콘텐츠연구,이동배," 문과대학, 문화콘텐츠학과",문305,수,13-15
저널리즘의이해,손석춘," 문과대학, 미디어커뮤니케이션학과",문213,화,04-06
저널리즘의이해,손석춘," 문과대학, 미디어커뮤니케이션학과",문213,목,01-03
저널리즘의이해,김철훈," 문과대학, 미디어커뮤니케이션학과",문304,수,11-16
발상의전환,이동배," 문과대학, 문화콘텐츠학과",문305,수,04-06
발상의전환,이동배," 문과대학, 문화콘텐츠학과",문305,목,04-06
영상콘텐츠기초,배상준," 문과대학, 문화콘텐츠학과",문306,화,10-12
영상콘텐츠기초,배상준," 문과대학, 문화콘텐츠학과",문306,수,04-06
영상콘텐츠기초,하원준," 문과대학, 문화콘텐츠학과",공B366,화,13-18
자연지리학및실습,이승호," 지리, 지리학과",창103,월,05-08
자연지리학및실습,이승호," 지리, 지리학과",창103,수,13-16
자연지리학및실습,최영은," 문과대학, 지리, 지리학과",이203,화,05-08
자연지리학및실습,최영은," 문과대학, 지리, 지리학과",이203,목,05-08
여행지리,김지수," 문과대학, 지리, 지리학과",문208,금,13-18
중국인문지리와역사,노정은," 문과대학, 중어중문학과",문210,화,07-09
중국인문지리와역사,노정은," 문과대학, 중어중문학과",문210,목,07-09
